user1,mean
2,2.704918033
4,2
5,2
7,2
8,2
9,2
12,2
16,2.888888889
17,2
19,2
20,2
21,2
22,2
23,2
25,2
26,2
27,2
28,2
29,2
30,2
33,2
34,2
35,2
36,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2.5
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
78,2
79,2
80,2
93,2
102,2
103,2
104,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
125,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
146,2
147,2
154,2
452,3
589,3
704,3
768,2
866,2
1321,2
1383,3
1804,2
1938,3
2191,3
2674,2
3087,3
3264,2
3450,3
4930,3
5053,3
5555,2
6002,3
6092,2
6449,3
6847,2
6868,2
7233,3
7359,2
7420,3
7438,3
7442,2
7458,3
7575,3
7702,3
7764,3
7789,3
7909,3
7928,2
8030,3
8059,3
8075,3
8805,2
9954,2
10215,2
10694,3
11633,2
12273,3
12462,2
12833,2
12834,2
13224,2
13365,2
13944,3
14010,2.833333333
14030,2.833333333
14322,2
14392,2
14811,2
15055,3
15508,2
15577,2
15662,3
16030,3
16164,3
16941,3
16951,3
16963,3
16982,2
18040,2.923076923
18169,3
18508,2
19496,2
19661,3
20292,3
20833,3
20948,3
21475,2
21577,3
21709,3
21750,3
22492,3
22708,2
23641,2
23794,2
23877,3
24234,3
24632,2
24743,3
24868,2
25618,2
26339,3
26454,3
26609,2
28895,2
29733,2
29962,2
30031,2.941176471
30155,2
30281,2
30958,3
31000,3
31054,2
32009,3
32318,2
32331,2
32444,3
32658,3
32917,3
32936,3
32975,2
33218,2
33357,3
33474,3
33565,3
34038,2
34074,3
34572,3
35928,3
36235,2
36321,3
36485,2
36585,2.923076923
37444,2
37451,3
37465,3
37688,2
37892,2
37936,3
38699,2
38951,2
39340,2
39919,3
40303,3
40562,2
40661,2
41727,3
41881,2
42044,2
42266,2
42433,2
42528,2
43309,2.909090909
43341,3
43567,3
43704,3
44318,2
44500,2.75
44577,2
44857,3
45457,3
45929,3
46170,3
46272,3
46326,3
46628,3
47459,3
47460,3
47574,3
48871,3
49313,2
49319,2
49400,2
49508,2
50348,2
50494,3
50667,3
50831,3
51452,2
51937,3
52091,2
52262,3
52917,3
53270,3
53345,3
54439,2.9
55117,2
55937,2
55958,3
56047,2
56882,3
56991,3
57052,3
58646,3
58895,2
58969,3
59042,2
59106,2
59486,2
59791,3
60054,3
60465,2
61658,2
61664,2
61747,3
62816,3
63000,3
63535,3
64056,2
64209,2
64321,2
64634,2
64669,2
64753,2
65093,2
65118,3
65307,3
65475,2
65761,3
66190,2
66648,3
66779,3
67196,2.857142857
67201,2.916666667
67305,3
68209,3
69124,3
69129,2
69649,2
69687,2
69955,3
70221,3
70434,2
70452,3
70612,2
70733,2
70934,3
72417,2
72482,3
72586,2.833333333
72632,2
72806,2
73271,3
73328,3
73345,3
73425,3
73660,3
73922,2
74781,3
74799,3
74945,2
74982,2
75103,2
75228,3
75362,2
75368,3
75692,3
76145,3
76232,3
76242,2
76244,2
76391,3
76432,3
76858,3
76944,2
77114,2
77247,2
77325,3
77474,2
77479,2
77747,3
78170,3
78644,2
79064,2
79582,3
79620,2
79633,3
79759,2.857142857
80010,2.928571429
80186,3
80219,2
80360,3
80596,3
81341,2
81700,2
81910,3
82579,2
82719,3
82787,2
82804,2
82963,3
83378,2
83447,2
83795,3
83817,3
84146,2
84148,2
84430,3
84433,3
85085,3
85625,3
85746,3
85940,3
86171,3
86305,2
86366,3
86548,3
86587,2
86648,2
86996,2
87460,3
87486,3
87533,2.909090909
87969,2
88085,2
88121,2
88202,2
88273,2
88421,2
90144,2
90850,3
90934,3
91071,2
91117,2
91242,3
91539,3
91852,2
92073,3
92472,3
92538,2
92806,3
92922,2
92990,3
93025,3
93228,3
93299,2
94135,2
94272,2
94604,2
94815,2
94853,2.933333333
95333,3
96035,2
96046,3
96961,2
96962,3
96995,2
97204,3
97254,2
97822,3
97915,3
98282,2
98471,2
98782,3
99234,3
99909,2
99954,3
100209,2
100274,3
100566,3
100638,2
100697,2
100942,2
101000,3
101367,2
101585,3
101628,2
101774,3
101802,3
102140,2
102360,3
102546,2
102568,2
102599,3
102689,2
102696,2
103036,3
103066,3
103234,2
103645,2
103968,3
104249,2
104394,3
105018,2
105163,3
105241,2
105467,2
105564,3
105794,3
106397,3
107179,3
107320,2
107634,3
107736,2
107882,3
108331,3
108541,3
108647,2
109351,2
109395,3
109445,3
109580,3
109673,2
109678,3
109711,3
109915,3
110030,2
110319,3
110519,3
110877,2
111049,3
112224,2
112225,2
113822,2
113910,3
114249,3
114398,2.846153846
115123,3
115500,2
115638,2
115921,3
116132,2
116174,3
116366,2
117569,3
117635,2
117789,3
117816,3
117831,3
117849,2
117876,2
118927,3
119014,3
119617,3
119644,2
119904,2
120240,3
120443,2
120622,3
120796,3
121300,2
121543,2
121657,2
121749,3
121751,3
121943,3
122122,2
122962,3
