id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type,quality
13,7.199999809,0.360000014,0.460000008,2.099999905,0.074000001,24,44,0.99533999,3.400000095,0.850000024,11,red,7
22,8.199999809,0.239999995,0.340000004,5.099999905,0.061999999,8,22,0.997399986,3.220000029,0.939999998,10.89999962,red,6
30,6.599999905,0.189999998,0.409999996,8.899999619,0.046,51,169,0.995400012,3.140000105,0.569999993,9.800000191,white,6
31,7.400000095,0.349999994,0.330000013,2.400000095,0.068000004,9,26,0.994700015,3.359999895,0.600000024,11.89999962,red,6
41,5.900000095,0.150000006,0.310000002,5.800000191,0.041000001,53,155,0.994499981,3.519999981,0.460000008,10.5,white,6
51,8.100000381,0.270000011,0.349999994,1.700000048,0.029999999,38,103,0.992550015,3.220000029,0.629999995,10.39999962,white,8
64,6.400000095,0.150000006,0.289999992,1.799999952,0.044,21,115,0.991659999,3.099999905,0.379999995,10.19999981,white,5
65,10.19999981,0.670000017,0.389999986,1.899999976,0.054000001,6,17,0.997600019,3.170000076,0.469999999,10,red,5
66,6.199999809,0.200000003,0.25999999,9.699999809,0.029999999,39,102,0.990800023,3.079999924,0.560000002,12.89999962,white,7
81,6.5,0.300000012,0.319999993,2,0.044,34,90,0.991850019,3.369999886,0.680000007,11,white,7
86,8.100000381,0.280000001,0.389999986,1.899999976,0.028999999,18,79,0.992299974,3.230000019,0.519999981,11.80000019,white,6
88,7.099999905,0.230000004,0.300000012,2.599999905,0.034000002,62,148,0.991209984,3.029999971,0.560000002,11.30000019,white,7
89,6.400000095,0.560000002,0.150000006,1.799999952,0.078000002,17,65,0.992940009,3.329999924,0.600000024,10.5,red,6
95,6.900000095,0.540000021,0.319999993,13.19999981,0.050000001,53,236,0.997300029,3.200000048,0.5,9.600000381,white,5
102,9.300000191,0.310000002,0.49000001,1.299999952,0.041999999,34,147,0.994799972,3.109999895,0.460000008,9.800000191,white,5
104,11.60000038,0.474999994,0.400000006,1.399999976,0.090999998,6,28,0.997039974,3.069999933,0.649999976,10.03333378,red,6
108,6,0.50999999,0,2.099999905,0.064000003,40,54,0.995000005,3.539999962,0.930000007,10.69999981,red,6
111,7.599999905,0.209999993,0.600000024,2.099999905,0.046,47,165,0.993600011,3.049999952,0.540000021,10.10000038,white,7
115,7.099999905,0.340000004,0.150000006,1.200000048,0.052999999,61,183,0.993600011,3.089999914,0.430000007,9.199999809,white,5
118,10.39999962,0.239999995,0.49000001,1.799999952,0.075000003,6,20,0.997699976,3.180000067,1.059999943,11,red,6
123,5.800000191,0.270000011,0.270000011,12.30000019,0.045000002,55,170,0.997200012,3.279999971,0.419999987,9.300000191,white,6
132,6.400000095,0.349999994,0.280000001,1.100000024,0.055,9,160,0.994050026,3.420000076,0.5,9.100000381,white,7
136,8.899999619,0.319999993,0.49000001,1.600000024,0.050000001,17,131,0.995599985,3.130000114,0.340000004,9.399999619,white,5
137,5.5,0.335000008,0.300000012,2.5,0.071000002,27,128,0.992399991,3.140000105,0.50999999,9.600000381,white,6
145,7.900000095,0.340000004,0.360000014,1.899999976,0.064999998,5,10,0.994189978,3.269999981,0.540000021,11.19999981,red,7
155,7.300000191,0.230000004,0.370000005,1.899999976,0.041000001,51,165,0.990800023,3.25999999,0.400000006,12.19999981,white,8
167,11.89999962,0.370000005,0.689999998,2.299999952,0.078000002,12,24,0.995800018,3,0.649999976,12.80000019,red,6
172,5.300000191,0.275000006,0.239999995,7.400000095,0.037999999,28,114,0.993130028,3.380000114,0.50999999,11,white,6
181,9.600000381,0.209999993,0.280000001,1.200000048,0.037999999,12,53,0.992600024,2.799999952,0.460000008,10.60000038,white,5
185,6.099999905,0.349999994,0.239999995,2.299999952,0.034000002,25,133,0.99059999,3.339999914,0.589999974,12,white,7
192,7.099999905,0.439999998,0.370000005,2.700000048,0.041000001,35,128,0.989600003,3.069999933,0.430000007,13.5,white,7
196,6.699999809,0.25,0.330000013,2.900000095,0.057,52,173,0.993399978,3.019999981,0.479999989,9.5,white,7
210,6.900000095,0.200000003,0.340000004,1.899999976,0.043000001,25,136,0.993499994,3.309999943,0.600000024,10.10000038,white,4
216,10.60000038,0.360000014,0.600000024,2.200000048,0.151999995,7,18,0.998600006,3.039999962,1.059999943,9.399999619,red,5
219,6,0.310000002,0.469999999,3.599999905,0.067000002,18,42,0.995490015,3.390000105,0.660000026,11,red,6
226,8.699999809,0.689999998,0.310000002,3,0.086000003,23,81,1.000200033,3.480000019,0.74000001,11.60000038,red,6
227,12.30000019,0.389999986,0.629999995,2.299999952,0.090999998,6,18,1.000399947,3.160000086,0.49000001,9.5,red,5
241,7.099999905,0.180000007,0.389999986,14.5,0.050999999,48,156,0.999469995,3.349999905,0.779999971,9.100000381,white,5
255,7,0.140000001,0.400000006,1.700000048,0.035,16,85,0.991100013,3.190000057,0.419999987,11.80000019,white,6
263,8,0.270000011,0.239999995,1.200000048,0.044,20,102,0.992900014,3.279999971,0.419999987,10.89999962,white,5
270,8.199999809,0.25999999,0.439999998,1.299999952,0.046,7,69,0.994400024,3.140000105,0.620000005,10.19999981,white,4
277,6.699999809,0.409999996,0.239999995,5.400000095,0.035,33,115,0.990100026,3.119999886,0.439999998,12.89333344,white,7
280,8.800000191,0.189999998,0.300000012,5,0.028000001,34,120,0.992420018,2.940000057,0.469999999,11.19999981,white,5
283,7.199999809,0.479999989,0.07,5.5,0.089000002,10,18,0.99684,3.369999886,0.680000007,11.19999981,red,7
285,7.099999905,0.25,0.319999993,10.30000019,0.041000001,66,272,0.996900022,3.170000076,0.519999981,9.100000381,white,6
288,6.199999809,0.439999998,0.389999986,2.5,0.077,6,14,0.995549977,3.50999999,0.689999998,11,red,6
292,9.899999619,0.349999994,0.550000012,2.099999905,0.061999999,5,14,0.997099996,3.25999999,0.790000021,10.60000038,red,5
332,11.10000038,0.439999998,0.419999987,2.200000048,0.064000003,14,19,0.997579992,3.25,0.569999993,10.39999962,red,6
333,6.800000191,0.189999998,0.319999993,7.050000191,0.018999999,54,188,0.993499994,3.25,0.370000005,11.10000038,white,8
337,6.699999809,0.170000002,0.419999987,10.39999962,0.037999999,85,182,0.996280015,3.039999962,0.439999998,8.899999619,white,6
345,6,0.25999999,0.419999987,5.199999809,0.027000001,70,178,0.991400003,3.400000095,0.400000006,12.30000019,white,8
356,6.900000095,0.389999986,0.239999995,2.099999905,0.101999998,4,7,0.994620025,3.440000057,0.579999983,11.39999962,red,4
372,7.300000191,0.670000017,0.02,2.200000048,0.071999997,31,92,0.995660007,3.319999933,0.680000007,11.0666666,red,6
397,6.900000095,0.349999994,0.389999986,2.400000095,0.048,25,157,0.991330028,3.200000048,0.540000021,11.10000038,white,7
400,6,0.289999992,0.270000011,2.299999952,0.044,20,117,0.989499986,3.309999943,0.409999996,12.69999981,white,7
415,7.5,0.289999992,0.360000014,15.69999981,0.050000001,29,124,0.996800005,3.059999943,0.540000021,10.39999962,white,5
419,6.400000095,0.360000014,0.209999993,2.200000048,0.046999998,26,48,0.996609986,3.470000029,0.769999981,9.699999809,red,6
420,7.099999905,0.200000003,0.300000012,0.899999976,0.018999999,4,28,0.989310026,3.200000048,0.360000014,12,white,6
425,6.900000095,0.319999993,0.159999996,1.399999976,0.050999999,15,96,0.994000018,3.220000029,0.379999995,9.5,white,4
432,9,0.430000007,0.340000004,2.5,0.079999998,26,86,0.998700023,3.380000114,0.620000005,9.5,red,6
